model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-32B	ts_safetensors_default	ttft	warm	ttft_ms	299972.30	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	cold	init_ms	280613.54	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	warm	init_ms	244985.65	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	cold	decode_avg_ms	252.61	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	cold	decode_max_ms	252.87	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	cold	decode_min_ms	252.48	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	cold	init_ms	282007.55	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	warm	decode_avg_ms	252.93	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	warm	decode_max_ms	253.33	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	warm	decode_min_ms	252.74	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	warm	init_ms	244578.93	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	ttft	cold	first_token_ms	46.13	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	ttft	cold	init_ms	285513.86	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	ttft	cold	ttft_ms	285559.99	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	ttft	warm	first_token_ms	49.59	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	ttft	warm	init_ms	240433.32	estimated
Qwen/Qwen3-32B	ts_safetensors_sync	ttft	warm	ttft_ms	240482.91	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	load_only	cold	init_ms	182208.21	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	load_only	warm	init_ms	186261.13	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	cold	decode_avg_ms	252.51	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	cold	decode_max_ms	252.84	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	cold	decode_min_ms	252.38	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	cold	init_ms	182046.78	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	warm	decode_avg_ms	253.01	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	warm	decode_max_ms	253.25	estimated
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	warm	decode_min_ms	252.88	estimated
