==========================================================================================
RUST-LAYER COLD-CACHE PROFILES (ms)
==========================================================================================

--- SAFETENSORS ---
  Model                     Backend          H100       H200       A100
  SmolLM3-3B      ts_serverlessllm_io_uring              36.1            N/A

  Qwen3-4B        ts_safetensors_default                 39.2       161705.6
  Qwen3-4B        ts_safetensors_sync                    39.0       163223.1
  Qwen3-4B        ts_safetensors_io_uring                39.0            N/A
  Qwen3-4B        ts_serverlessllm_default               39.2       168112.5
  Qwen3-4B        ts_serverlessllm_sync                  39.2       171534.5
  Qwen3-4B        ts_serverlessllm_io_uring              39.2            N/A

  Qwen3-8B        ts_safetensors_default                 58.3       151684.2
  Qwen3-8B        ts_safetensors_sync                    58.2       144913.6
  Qwen3-8B        ts_safetensors_io_uring                58.4            N/A
  Qwen3-8B        ts_serverlessllm_default               58.1       191772.2
  Qwen3-8B        ts_serverlessllm_sync                  58.1       157479.0
  Qwen3-8B        ts_serverlessllm_io_uring              58.1            N/A

  Qwen3-14B       ts_safetensors_default                 94.2       236956.0
  Qwen3-14B       ts_safetensors_sync                    94.5       255420.3
  Qwen3-14B       ts_safetensors_io_uring                94.5       264551.0
  Qwen3-14B       ts_serverlessllm_default               94.7       281284.3
  Qwen3-14B       ts_serverlessllm_sync                  94.4       264982.1
  Qwen3-14B       ts_serverlessllm_io_uring              94.5       268772.5

  Qwen3-32B       ts_safetensors_default                194.3       338465.2
  Qwen3-32B       ts_safetensors_sync                   194.3       554176.4
  Qwen3-32B       ts_safetensors_io_uring               194.4            N/A
  Qwen3-32B       ts_serverlessllm_default              194.2       394548.0
  Qwen3-32B       ts_serverlessllm_sync                 194.3       456993.1
  Qwen3-32B       ts_serverlessllm_io_uring             194.3            N/A
